Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin K	5.0	Homo sapiens	N#CN1CC(CNC(=O)C2CCCCC2)C1
Cathepsin K	0.71	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)(C)C)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	3.9	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1CN(C(=O)OC(C)(C)C)CC1=O
Cathepsin K	2042.0	Homo sapiens	Cc1cccc(CCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)n1
Cathepsin K	10000.1	Homo sapiens	N#Cc1nc(-c2ccc(OCc3ccccc3)c(C(F)(F)F)c2)cc2[nH]cnc12
Cathepsin K	4070.0	Homo sapiens	CCCc1cc(-c2ccccc2C(F)(F)F)nc(C#N)n1
Cathepsin K	600.0	Homo sapiens	CCCC[C@@H](C=O)NC(=O)OCCCc1ccccc1
Cathepsin K	25.12	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nccs3)CC2)CC1
Cathepsin K	0.2	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(C3(C(N)=O)CC3)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1
Cathepsin K	870.0	Homo sapiens	CCCn1c(=O)c(C#N)nn(C2CCCC2)c1=O
Cathepsin K	4460.0	Homo sapiens	N#Cc1nn(-c2cccc(C(F)(F)F)c2)c(=O)n(CCc2ccccc2)c1=O
Cathepsin K	100.0	Homo sapiens	N#Cc1nn(C2CCCCCC2)c(=O)n(CCCN2CCCCC2)c1=O
Cathepsin K	100.0	Homo sapiens	N#Cc1nc(CCCN2CCCCC2)cc(C2CCCCCC2)n1
Cathepsin K	288.0	Homo sapiens	CCCn1c(=O)c(C#N)nn(-c2cccc(C(C)(C)C)c2)c1=O
Cathepsin K	6.5	Homo sapiens	CCCC[C@@H](C=O)NC(=O)O[C@H](Cc1ccccc1)CC(C)C
Cathepsin K	614.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3CNCCO3)cc2)c1
Cathepsin K	216.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3CNCCN3)cc2)c1
Cathepsin K	57.0	Homo sapiens	CC(C)CC(C(=O)NCC#N)c1cccc(-c2ccc(C3=CCNCC3)cc2)c1
Cathepsin K	2.9	Homo sapiens	COc1ccc(C(=O)N[C@@H](CC(C)C)C(=O)NCCNc2ccc(OCC(C)C)cc2)cc1
Cathepsin K	25.12	Homo sapiens	CCCC[C@H](NC(=O)OC1(Cc2ccccc2)CCCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	16.98	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	250.0	Homo sapiens	CC(C)(C)C[C@@H](C=O)NC(=O)OC(C)(C)C
Cathepsin K	-0.095	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N
Cathepsin K	22.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1C1CCCCC1
Cathepsin K	0.47	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1[nH]ncc1C
Cathepsin K	2291.0	Homo sapiens	Cn1cnc2c(C#N)nc(-c3ccc(OCc4ccccn4)c(C(F)(F)F)c3)cc21
Cathepsin K	13.0	Homo sapiens	CCCC[C@H](NC(=O)OCC(C)(C)Cc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	200.0	Homo sapiens	CC[C@@H](CC1CCCCC1)OC(=O)N1CCC(NC#N)C1
Cathepsin K	2.7	Homo sapiens	CCCC[C@@H](C=O)NC(=O)O[C@@H](C)CC1CCCCC1
Cathepsin K	20.42	Homo sapiens	N#Cc1nc(Nc2cc(F)cc(F)c2)nc(NC2CCCC2)n1
Cathepsin K	5.5	Homo sapiens	CCCC[C@H](NC(=O)OCC1(COc2nc(-c3ccccc3)cs2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	0.02512	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1cnc(-c2ccc(C(F)(F)F)cc2)c1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1
Cathepsin K	0.1288	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(C(F)(F)F)cc2)o1)C(C)(C)C)C(=O)C(=O)NN1CCOC1=O
Cathepsin K	0.4074	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(C(F)(F)F)cc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin K	10000.1	Homo sapiens	CCOc1ccc(-c2cccc(C#N)n2)cc1C(F)(F)F
Cathepsin K	79.0	Homo sapiens	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCC3)cc2)CC1
Cathepsin K	290.0	Homo sapiens	CC(=O)N1CCCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)cc2)CC1
Cathepsin K	350.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)COC1)C(=O)C(=O)Nc1ccon1
Cathepsin K	54.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCC1)C(=O)C(=O)Nc1ccnn1C(C)C
