Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 2.7	Homo sapiens	Cn1ccc2c(nc(nc12)C#N)-c1cnc(OCCC2CCCNC2)c(c1)C(F)(F)F
Cathepsin S	 2.7	Homo sapiens	CCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CCOC)ccc23)C#N)CC1
Cathepsin S	 2.7	Homo sapiens	Cn1cnc2c(nc(nc12)C#N)-c1ccc(OCCC2CCN(CC#N)CC2)c(c1)C(F)(F)F
Cathepsin S	 2.7	Homo sapiens	Cn1cnc2c(nc(nc12)C#N)-c1cnc(OCCC2CCN(CC2)C(=O)C2CCCN2)c(c1)C(F)(F)F
Cathepsin S	 2.7	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCC(CC1)OCCOc1ncc(cc1C(F)(F)F)-c1nc(nc2n(C)ccc12)C#N
Cathepsin S	 2.7	Homo sapiens	Cc1nc2c(nc(nc2n1C)C#N)-c1ccc(OCCC2CCNCC2)c(c1)C(F)(F)F
Cathepsin S	 2.7	Homo sapiens	CCN1CCCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1
Cathepsin S	 2.7	Homo sapiens	Cn1ccc2c(nc(nc12)C#N)-c1cnc(OCC2CCN(CC2)C(=O)C2CCNCC2)c(c1)C(F)(F)F
Cathepsin S	 2.7	Homo sapiens	CCN1CCC(CCOc2ccc(cc2C#N)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1
Cathepsin S	 2.7	Homo sapiens	CN1CCC(CC1)C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1
Cathepsin S	 2.749	Homo sapiens	CC(C)(C)OC(=O)N1CC(C1)(C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl)c1ccc(Cl)cn1
Cathepsin S	 2.75	Homo sapiens	Clc1cc(ccc1S(=O)(=O)[C@H]1CCN(C1)c1nc(nc2CN(Cc12)C=O)C#N)-n1cccn1
Cathepsin S	 2.758	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NCCc1cccc2ccccc12
Cathepsin S	 2.796	Homo sapiens	Cc1cccc(n1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)c1ncc(Cl)cc1F)C(=O)NC1(CC1)C#N
Cathepsin S	 2.8	Homo sapiens	CCC(C)(C)CC[C@H](NC(=O)N1CCOCC1)C(=O)NC1(CCN(C)CC1)C#N
Cathepsin S	 2.8	Homo sapiens	CC(C)CN1CCC(CCOc2ncc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1
Cathepsin S	 2.8	Homo sapiens	Cn1ccc2c(nc(nc12)C#N)-c1cnc(OCCO[C@H]2CCNC2)c(c1)C(F)(F)F
Cathepsin S	 2.8	Homo sapiens	CCN1CCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1
Cathepsin S	 2.8	Homo sapiens	CCOC(=O)N1CCC(CC1)N1CCC1C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(Cl)cc1
Cathepsin S	 2.8	Homo sapiens	FC(F)(F)c1cc(ccc1OCCC1CCNCC1)-c1nc(nc2n(ccc12)C1CCOC1)C#N
