Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	1810.0	Homo sapiens	Oc1ccc(cc1)C(=O)\C=C\c1ccc(cc1)N1CCCC1
Cathepsin B	1812.0	Homo sapiens	CC(C)C[C@H](Nc1ccccc1-c1ccc(cc1)N1CCNCC1)C(=O)NCC#N
Cathepsin B	1844.0	Homo sapiens	Fc1cccc(CS(=O)(=O)C[C@H](N[C@@H](c2ccccc2)C(F)(F)F)C(=O)NC2(CC2)C#N)c1F
Cathepsin B	1850.0	Homo sapiens	COc1ccc(cc1OC)N1CCN([C@H](C)C1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N
Cathepsin B	1852.5	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)C(F)(F)F)S(=O)(=O)c1ccccc1C(F)(F)F)C(=O)C(=O)NC1CC1
Cathepsin B	1873.0	Homo sapiens	CC(C)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NCC#N
Cathepsin B	 1900	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O
Cathepsin B	 1900	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Oc1ccc(F)cc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O
Cathepsin B	 1900	Homo sapiens	Fc1cccc(Nc2nc(nc(n2)N2CCOCC2)C#N)c1
Cathepsin B	 1900	Homo sapiens	Cc1cccc(C[C@H](NC(=O)c2ccccc2)C(=O)NCC#N)c1
Cathepsin B	 1903	Homo sapiens	CC(C)C[C@H](NC(=O)c1ccccc1)C(=O)NCC#N
Cathepsin B	 1980	Homo sapiens	CS(=O)(=O)C[C@H](N[C@@H](c1ccccc1)C(F)(F)F)C(=O)NC1(CC1)C#N
Cathepsin B	 1990	Homo sapiens	Cc1ccc(cc1)S(=O)(=O)n1nc(OC(=O)c2cccs2)cc1N
Cathepsin B	 1995	Homo sapiens	Cc1cc(C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N)c(C)s1
Cathepsin B	 1995.26	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2CCCc2s1
Cathepsin B	 2000	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1
Cathepsin B	 2000	Homo sapiens	COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O
Cathepsin B	 2000	Homo sapiens	O[C@H](CN(Cc1ccccc1)C(=O)[CH-][N+]#N)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
Cathepsin B	 2000	Homo sapiens	N#CN1CCC1
Cathepsin B	>2000	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	>2000	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	>2000	Homo sapiens	CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc12)C(=O)C(=O)N[C@H](C)c1ccccc1
Cathepsin B	 2087.4	Homo sapiens	CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(o1)S(=O)(=O)Cc1cccc(C)c1
Cathepsin B	 2100	Homo sapiens	COc1cc2c([nH]c3c4C=CC(C)(C)Oc4c(C)cc23)c(c1O)-c1c(O)c(OC)cc2c1[nH]c1c3C=CC(C)(C)Oc3c(C)cc21
Cathepsin B	 2100	Homo sapiens	CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)C(C(=O)c3ccc(O)c(O)c3)C(=O)[C@]1(CC=C(C)C)C2=O
Cathepsin B	 2120	Homo sapiens	CC(=O)NC(=O)NC1OC(=O)C(Cl)=C1Cl
Cathepsin B	 2200	Homo sapiens	CCCC[C@H](NC(=O)OC(CC)(CC)Cc1ccccc1)C=O
Cathepsin B	 2210	Homo sapiens	O=C(NC1(CC1)C#N)[C@H](Cc1ccccc1)NC(=O)c1ccc(cc1)-c1ccccc1
Cathepsin B	 2227	Homo sapiens	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)C12CCN(CC1)CC2
Cathepsin B	 2241	Homo sapiens	O=C(NC1(CC1)C#N)[C@H](Cc1ccc(O[C@@H]2CCNC2)cc1)NC(=O)c1ccc(cc1)-c1ccccc1
Cathepsin B	 2247.2	Homo sapiens	O=C(CSc1nnc(-c2ccco2)c(n1)-c1ccco1)Nc1ccccc1
