Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	18.0	Homo sapiens	C[C@H](NC(=O)O[C@H](Cn1ccc(n1)-c1ccc(cc1)C(F)(F)F)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1	2
Cathepsin K	19.0	Homo sapiens	CC(C)C[C@H](NC(=O)OCC1CCCCC1)C(=O)NC1CCN(C1)C#N	2
Cathepsin K	19.0	Homo sapiens	CC(C)(C)CN(Cc1ccc(I)cc1)c1ccnc(n1)C#N	2
Cathepsin K	19.6	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
Cathepsin K	19.95	Homo sapiens	Cc1nc(sc1C)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	19.95	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc(cs1)C1CC1	2
Cathepsin K	19.95	Homo sapiens	CCCC[C@H](NC(=O)OC(C)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	19.95	Homo sapiens	CCc1csc(n1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	2
Cathepsin K	20.0	Homo sapiens	NCCCC[C@H](NC(=O)C1CCCC1)C(=O)COc1c(F)c(F)cc(F)c1F	2
Cathepsin K	20.0	Homo sapiens	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)N1CCN(CC1)C(C)(C)C	2
Cathepsin K	20.0	Homo sapiens	N#CN1CC(C1)OCC1CCCCC1	2
Cathepsin K	20.0	Homo sapiens	Fc1ccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)cc1	2
Cathepsin K	20.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CC)CCC1)C(=O)C(=O)Nc1ccon1	2
