Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin B	1995.26	Homo sapiens	O=C(NC1(CC1)C#N)[C@@H]1CCCC[C@H]1C(=O)N1CCN(CC1)c1nc2CCCc2s1	0
Cathepsin B	2000.0	Homo sapiens	CC(C)C[C@H](NC(=O)OCC(C)(C)Sc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC1CC1	0
Cathepsin B	2000.0	Homo sapiens	COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O	0
Cathepsin B	2000.0	Homo sapiens	O[C@H](CN(Cc1ccccc1)C(=O)[CH-][N+]#N)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1	0
Cathepsin B	2000.0	Homo sapiens	N#CN1CCC1	0
Cathepsin B	2000.1	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	0
Cathepsin B	2000.1	Homo sapiens	CCCC[C@H](NC(=O)OCC1(CCCc2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	0
Cathepsin B	2000.1	Homo sapiens	CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc12)C(=O)C(=O)N[C@H](C)c1ccccc1	0
Cathepsin B	2087.4	Homo sapiens	CCC(C)[C@@H](NC(=O)OC(C)(C)C)c1nnc(o1)S(=O)(=O)Cc1cccc(C)c1	0
Cathepsin B	2100.0	Homo sapiens	COc1cc2c([nH]c3c4C=CC(C)(C)Oc4c(C)cc23)c(c1O)-c1c(O)c(OC)cc2c1[nH]c1c3C=CC(C)(C)Oc3c(C)cc21	0
Cathepsin B	2100.0	Homo sapiens	CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)C(C(=O)c3ccc(O)c(O)c3)C(=O)[C@]1(CC=C(C)C)C2=O	0
Cathepsin B	2120.0	Homo sapiens	CC(=O)NC(=O)NC1OC(=O)C(Cl)=C1Cl	0
Cathepsin B	2200.0	Homo sapiens	CCCC[C@H](NC(=O)OC(CC)(CC)Cc1ccccc1)C=O	0
Cathepsin B	2210.0	Homo sapiens	O=C(NC1(CC1)C#N)[C@H](Cc1ccccc1)NC(=O)c1ccc(cc1)-c1ccccc1	0
Cathepsin B	2227.0	Homo sapiens	CC(C)C[C@@H](C(=O)NCC#N)c1cccc(c1)-c1ccc(cc1)C12CCN(CC1)CC2	0
Cathepsin B	2241.0	Homo sapiens	O=C(NC1(CC1)C#N)[C@H](Cc1ccc(O[C@@H]2CCNC2)cc1)NC(=O)c1ccc(cc1)-c1ccccc1	0
Cathepsin B	2247.2	Homo sapiens	O=C(CSc1nnc(-c2ccco2)c(n1)-c1ccco1)Nc1ccccc1	0
Cathepsin B	2250.0	Homo sapiens	CCOC(=O)\C=C\C=C\C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1	0
Cathepsin B	2300.0	Homo sapiens	COc1cccc(Nc2nc(nc(n2)N2CCOCC2)C#N)c1	0
