Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin B	300.0	'='	Homo sapiens	NC(=S)N/N=C(/c1cc(Cl)cc(Cl)c1)c1cccs1
Cathepsin B	8100.0	'='	Homo sapiens	COc1ccc(C(=O)NCc2ccnc(C#N)n2)cc1C(=O)C(C)(C)c1cc(Cl)cc(Cl)c1
Cathepsin B	2940.0	'='	Homo sapiens	[N-]=[N+]=CC(=O)[C@H](Cc1ccc(I)cc1)NC(=O)CN
Cathepsin B	690.0	'='	Homo sapiens	COc1ccc(S(=O)(=O)n2nc(OC(=O)c3cccs3)cc2N)cc1
Cathepsin B	1750.0	'='	Homo sapiens	Cc1ccc(S(=O)(=O)n2nc(OC(=O)c3ccco3)cc2N)cc1
Cathepsin B	440.0	'='	Homo sapiens	Nc1cc(OC(=O)c2cccs2)nn1S(=O)(=O)c1ccc(F)cc1
Cathepsin B	30000.1	'>'	Homo sapiens	COCCCn1cnc2c(NCc3ccc(Cl)c(Cl)c3)nc(C#N)nc21
Cathepsin B	5430.0	'='	Homo sapiens	N#Cc1nc(NCc2ccc(Cl)c(Cl)c2)c2ncn(CCCO)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	N#Cc1nc(NCc2ccc(Cl)cc2)c2ncn(CCCCO)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	N#Cc1nc(NCc2ccccc2)c2ncn(Cc3cccc(C(F)(F)F)c3)c2n1
Cathepsin B	30000.1	'>'	Homo sapiens	CCCCn1cnc2c(NCc3ccc(C)cc3)nc(C#N)nc21
Cathepsin B	30000.1	'>'	Homo sapiens	Cc1cccc(CNc2nc(C#N)nc3c2ncn3CC2CCCCC2)c1
Cathepsin B	30000.1	'>'	Homo sapiens	COc1ccc(CNc2nc(C#N)nc3c2ncn3C2CCCC2)cc1
Cathepsin B	17700.0	'='	Homo sapiens	N#Cc1nc(NC2CCCCC2)c2ncn(Cc3ccccc3)c2n1
Cathepsin B	6629.0	'='	Homo sapiens	N#CC1(NC(=O)[C@H](CS(=O)(=O)c2cccc(Br)c2)N[C@@H](c2ccccc2)C(F)(F)F)CC1
Cathepsin B	60000.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](CN1CCN(c2ccc(C(F)(F)F)cc2)C1=O)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1
Cathepsin B	40.0	'='	Homo sapiens	Cc1cc(C)cc(CC(NC(=O)C(c2ccccc2)c2ccccc2)C(=O)NCC#N)c1
Cathepsin B	10000.1	'>'	Homo sapiens	NC(=S)N/N=C(\c1cccc(Br)c1)c1cc(O)cc(C(=O)c2cccc(Br)c2)c1
Cathepsin B	1100.0	'='	Homo sapiens	CN1CCN(c2nc(-c3ccc(C(=O)NC4(C(=O)NCC#N)CCCCC4)cc3)cs2)CC1
