Target Name	IC50 (nM)	Value	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	27.0	'='	Homo sapiens	C[C@@H](NC(=O)C(=O)[C@H](CCCCNC(=O)N1CCOCC1)NC(=O)OCC1(Cc2ccc(F)cc2)CCC1)c1ccccc1
Cathepsin S	13000.1	'>'	Homo sapiens	CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](CC#N)CCc1ccccc1
Cathepsin S	5.3	'='	Homo sapiens	N#CCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1ccccc1
Cathepsin S	3.8	'='	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)/C=C/c1cc(OC)ccc1OC
Cathepsin S	11.0	'='	Homo sapiens	Cc1cccc(CCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)n1
Cathepsin S	37.0	'='	Homo sapiens	CCOc1ccc(-c2cc3c(ncn3CCN3CCOCC3)c(C#N)n2)cc1C(F)(F)F
Cathepsin S	105.0	'='	Homo sapiens	CCNc1ccc(-c2cc3[nH]cnc3c(C#N)n2)cc1C(F)(F)F
Cathepsin S	1047.0	'='	Homo sapiens	N#Cc1nc(-c2cccc(C(F)(F)F)c2)cc2[nH]cnc12
Cathepsin S	267.0	'='	Homo sapiens	Cc1cccc(CCOc2ccc(-c3cc4c(ncn4C)c(C#N)n3)cc2C(F)(F)F)n1
Cathepsin S	89.0	'='	Homo sapiens	Cn1cnc2c(C#N)nc(-c3ccc(OCCCN4CCCC4)c(C(F)(F)F)c3)cc21
Cathepsin S	1.9	'='	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cccc([N+](=O)[O-])c1
Cathepsin S	1.9	'='	Homo sapiens	N#C[C@@]1(NC(=O)[C@@H](CC(=O)N2CCOCC2)CC2CCc3ccccc3C2)CCN(C2CCCCC2)C1
Cathepsin S	251.0	'='	Homo sapiens	CN1CCC(C#N)(NC(=O)[C@@H](CC(=O)N2CCOCC2)CC2CCCCC2)CC1
Cathepsin S	11.0	'='	Homo sapiens	CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccncc2)n1)C(C)(C)C)C(=O)CNS(=O)(=O)c1ccccn1
Cathepsin S	9500.0	'='	Homo sapiens	COc1ccccc1N1CCN(CCCCn2nc(-c3ccc(Cl)cc3)c3c2CCN(C(C)=O)C3)CC1
Cathepsin S	63.0	'='	Homo sapiens	N#C[C@@]1(NC(=O)[C@@H](CC(=O)N2CCOCC2)CC2CCCC2)CCN(C2CCCCC2)C1
Cathepsin S	18.0	'='	Homo sapiens	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCC3)c(F)c2)CC1
Cathepsin S	1800.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(CNCc5ccc(Cl)c(Cl)c5)cc4)c3)nn2CCCN2CCOCC2)C1
Cathepsin S	4.5	'='	Homo sapiens	N#Cc1nccc(-c2ccc(OCCCO)c(C(F)(F)F)c2)n1
Cathepsin S	120.0	'='	Homo sapiens	CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
Cathepsin S	420.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(CNCc5ccccc5)cc4)c3)nn2CCCN2CCOCC2)C1
Cathepsin S	110.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(Cl)cc4)c3)nn2CC(O)CN2CCC(C(N)=O)CC2)C1
Cathepsin S	54.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(Br)cc3)nn2CC(O)CN2CCC(c3c[nH]c4ccc(Cl)cc34)CC2)C1
Cathepsin S	37.0	'='	Homo sapiens	CCNC(=O)c1sc2cc(F)ccc2c1C1CCN(CCCn2nc(-c3ccc(C(F)(F)F)cc3)c3c2CCN(S(C)(=O)=O)C3)CC1
Cathepsin S	220.0	'='	Homo sapiens	COC(=O)c1oc2cc(F)ccc2c1C1CCN(CC(O)Cn2nc(-c3ccc(C(F)(F)F)cc3)c3c2CCN(C(C)=O)C3)CC1
Cathepsin S	50.0	'='	Homo sapiens	CC(=O)N1CCN(c2ccc(OCc3cc4cnc(C#N)nc4n3CCC3CCCCCC3)cc2)CC1
Cathepsin S	1584.89	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc(-c4ccccc4)cs3)CC2)CC1
Cathepsin S	2511.89	'='	Homo sapiens	N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4c(s3)COCC4)CC2)CC1
Cathepsin S	473.0	'='	Homo sapiens	Cc1cccc(O[C@H]2CCN3C[C@@H]2OC3=O)c1C
Cathepsin S	174.0	'='	Homo sapiens	O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1
Cathepsin S	23.0	'='	Homo sapiens	CC(C)(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)CCc1ccccc1
Cathepsin S	1400.0	'='	Homo sapiens	CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)C(C)C
Cathepsin S	870.0	'='	Homo sapiens	NC(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(CNCc5ccc(Cl)cc5)cc4)c3)nn2CCCN2CCSCC2)C1
Cathepsin S	100.0	'='	Homo sapiens	NC(=O)C(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(CNCc5ccc(Cl)cc5)cc4)c3)nn2CCCN2CCC(C(F)(F)F)CC2)C1
Cathepsin S	180.0	'='	Homo sapiens	CN(C)S(=O)(=O)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(CNCc5ccc(Cl)cc5)cc4)c3)nn2CCCN2CCOCC2)C1
Cathepsin S	2500.0	'='	Homo sapiens	Clc1ccc(CNCc2ccc(C#Cc3cc(-c4nn(CCCN5CCOCC5)c5c4CNCC5)ccc3Cl)cc2)cc1
Cathepsin S	9500.0	'='	Homo sapiens	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2ccc(OCc3ccccc3)cc2)cc1
Cathepsin S	8.0	'='	Homo sapiens	CC(C)(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)COCc1ccccc1
Cathepsin S	1.83	'='	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2C(F)(F)F)CN1c1ccccc1[N+](=O)[O-])C(=O)c1nc2ccccc2o1
Cathepsin S	1.078	'='	Homo sapiens	C[C@H](Oc1ccc(S(=O)(=O)[C@@H]2C[C@@H](C(=O)NC3(C#N)CC3)N(C(=O)C3(c4ncc(Cl)cc4F)CCN3C(=O)OC(C)(C)C)C2)c(Cl)c1)C(F)(F)F
Cathepsin S	2.0	'='	Homo sapiens	CNC(=O)c1c(NCC2CCC3(CC2)CC3)nc(C#N)nc1OCCC1CCN(C)CC1
Cathepsin S	2.0	'='	Homo sapiens	CN1CCC(CCOc2nc(C#N)nc(NCC3CCC4(CC3)CC4)c2Br)CC1
Cathepsin S	4.0	'='	Homo sapiens	N#Cc1ncc(C(=O)N[C@H](Cc2ccccn2)CN2CCCC2)c(NCC2CCC3(CC2)CC3)n1
Cathepsin S	90.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN4CCCCC4)c3)nn2CC(O)CN2CCC(C(=O)N3CCCC3)CC2)C1
Cathepsin S	1130.0	'='	Homo sapiens	CS(=O)(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCCN)c3)nn2CC(O)CN2CCCCC2)C1
