Ligand SMILES	Potency
NC1=Nc2cc(ccc2CN1C1Cc2ccccc2C1)C(F)(F)F	1
COc1cccc(c1)-c1ccc2OC(C)(C)C[C@@]3(N=C(N)N(C)C3=O)c2c1	1
CN1C(N)=N[C@](C1=O)(c1ccc(OC(F)F)cc1)c1cccc(c1)-c1cccnc1F	1
CCc1cn2CS(=O)(=O)N(C)c3cc(cc1c23)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CCCCC1	1
COc1ccc(CCNC(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC	1
COc1cccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCC(C)C)c1	1
NC1=Nc2cc(ccc2CN1C1Cc2ccccc2C1)C(=O)N1CCCC1Cc1ccccc1	1
CC(C)C[C@@H]1NC(=O)CCCCCCCCCCCNC(=O)[C@H](C)NC(=O)C[C@@H]1O	1
Fc1cc(F)c(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)NCc2ccc(F)c(OC(F)(F)F)c2)c(F)c1	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CCCCC1)c1ncc(o1)C(C)(C)C	1
Fc1ccc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(F)c(c2)C(F)(F)F)cc1C(F)(F)F	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)N[C@@H]2CCc3ccccc23)cc1OC	1
COc1cccc(c1)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
COc1ccc2C[C@H](Cc2c1)N1Cc2ccc(cc2N=C1N)C(F)(F)F	1
COc1ccc(CC(=O)NC(=N)N[C@H](CC(C)C)C(=O)NCc2cccc(c2)-c2ccnn2C)cc1OC	1
CCCCNC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)Cc1ccc2ccccc2c1)C(C)CC	1
COc1cccc(c1)C(C)(C)NC[C@@H](O)[C@@H]1Cc2cccc(OCCCCN(C)C(=O)c3cccc(c3)C(=O)N1)c2	1
COc1ccc(CC(=O)NC(=N)N[C@H](Cc2ccccc2)C(=O)NCCN2C(=O)c3ccccc3C2=O)cc1OC	1
COCCN1C(N)=NC2(CC(C)(C)Oc3ccc(cc23)-c2cccc(Cl)c2)C1=O	1
CCCN1CCCCCc2cccc(C[C@H](NC(=O)c3cccc(c3)C1=O)[C@H](O)CNC(C)(C)c1cccc(OC)c1)c2	1
COc1ccc(CNC(=O)[C@@H](COC(C)(C)C)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC	1
CC[C@H](C)CNC(=O)[C@@H](CC(C)C)NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(CCNC(=O)C1)c1cccc(c1)C(C)(C)C	1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@]1(CC[C@H](CO)CC1)c1cccc(c1)C(C)(C)C	1
CC(C)CNC(=O)[C@@H](CC1CCCCC1)NC(=N)NC(=O)Cc1ccc(F)c(F)c1	1
