Ligand SMILES	Potency
FC(F)(F)c1cc(ccc1OCCC1CCNCC1)-c1nc(nc2n(ccc12)C1CCOC1)C#N	2
Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ncccc1Cl	2
CCCCNC(=O)C(=O)[C@H](CC)NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccccc1Cl	2
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl)C(=O)C(=O)NC1CC1	2
CCOc1ccc(cc1C(F)(F)F)-c1nc(nc2n(CC(=O)NC3CCN(C)CC3)ccc12)C#N	2
CCOc1ccc(C(=O)NC(C)C(=O)C(=O)Nc2ccn[nH]2)c(Cl)c1C(F)(F)F	2
CN(C)C(=O)CN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCOC4)ccc23)C#N)CC1	2
CC(C)C[C@H](NC(=O)c1ccco1)C(=O)N[C@H]1CC[C@@H](C)N(CC1=O)S(=O)(=O)c1ccccn1	2
CCN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(ccc23)C2COC2)C#N)CC1	2
Fc1cc(Cl)cnc1C1(CNC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(OCC(F)(F)F)cc1Cl	2
CCCCNC(=O)C(=O)[C@H](CCC)NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Cl)cc1F)S(=O)(=O)c1ccccc1Cl	2
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ncc(Br)cc1F)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
CC[C@H](NC(=O)[C@@H]1C[C@H](CN1c1cc(C)nn1C1CCC1)S(=O)(=O)c1ccc(F)cc1C(F)(F)F)C(=O)C(=O)NC1CC1	2
Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)S(=O)(=O)c1ccc(Cl)cn1	2
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(nc1OCC1CCN(C)CC1)C#N	2
CN1CCC(CC1)Oc1ccc(NC(=O)c2cnc(nc2NCC2CCC3(CC3)CC2)C#N)c(c1)-c1ccccc1	2
CCN1CCCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1	2
NC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN1CCC(CC1)C1CCNCC1)-c1ccc(Cl)c(c1)C#Cc1ccc(Cl)cc1	2
CCn1ccc2c(nc(nc12)C#N)-c1ccc(OCCC2CCNCC2)c(c1)C(F)(F)F	2
O=C(N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@H]1[C@H]2N(CCS2(=O)=O)C1=O)OCc1ccccc1	2
